ID,gCF,gCF_N,gDF1,gDF1_N,gDF2,gDF2_N,gDFP,gDFP_N,gN,sCF,sCF_N,sDF1,sDF1_N,sDF2,sDF2_N,sN,posterior_prob,branchlength,chrom,Node_17,Node_18,Node_19,Pop_Nodes
5,47.65,203,11.74,50,12.44,53,28.17,120,426,83.2,352.1,9.62,39.26,7.17,29.65,421.01,100,0.00038724,mi7,FALSE,FALSE,FALSE,FALSE
6,75.82,323,0.7,3,1.41,6,22.07,94,426,83.17,1585.88,9.7,178,7.13,128.54,1892.42,100,0.00121226,mi7,FALSE,FALSE,FALSE,FALSE
7,37.79,161,21.36,91,21.6,92,19.25,82,426,43.52,379.17,27,233.33,29.49,253.27,865.77,100,0.000230884,mi7,FALSE,FALSE,FALSE,FALSE
8,63.15,269,12.21,52,6.57,28,18.08,77,426,71.6,752.2,14.33,151.56,14.07,148.53,1052.29,100,0.000731489,mi7,FALSE,FALSE,FALSE,FALSE
9,46.48,198,5.16,22,4.69,20,43.66,186,426,61.08,1851.73,21.54,641.98,17.38,524.06,3017.77,100,0.000988461,mi7,FALSE,FALSE,FALSE,FALSE
10,53.52,228,0.23,1,0.47,2,45.77,195,426,86.75,2541.06,5.83,168.6,7.42,214.94,2924.6,100,0.00175039,mi7,FALSE,FALSE,FALSE,FALSE
11,19.95,85,5.63,24,18.08,77,56.34,240,426,47.49,390.8,19.58,161.3,32.93,273.16,825.26,100,0.000368829,mi7,FALSE,FALSE,FALSE,FALSE
12,15.73,67,11.27,48,20.66,88,52.35,223,426,26.81,134.75,30.2,153.84,42.99,218.28,506.87,100,0.000150247,mi7,FALSE,FALSE,FALSE,TRUE
13,46.95,200,7.51,32,8.45,36,37.09,158,426,66.72,365.24,17.15,93.98,16.13,89.31,548.53,100,0.000387815,mi7,FALSE,FALSE,FALSE,FALSE
14,74.88,319,2.35,10,2.58,11,20.19,86,426,91.08,1133.76,3.33,41.39,5.59,69.35,1244.5,100,0.000980468,mi7,FALSE,FALSE,FALSE,FALSE
15,27.46,117,0.7,3,3.05,13,68.78,293,426,64.47,920.48,15.4,213.45,20.13,268.63,1402.56,100,0.00111888,mi7,FALSE,FALSE,FALSE,FALSE
16,35.21,150,10.09,43,4.23,18,50.47,215,426,63.01,316.12,21.65,108.78,15.33,77.02,501.92,100,0.000600072,mi7,FALSE,FALSE,FALSE,FALSE
17,14.08,60,1.88,8,2.82,12,81.22,346,426,43.83,386.92,24.89,223.77,31.29,288.45,899.14,100,0.000412468,mi7,TRUE,FALSE,FALSE,FALSE
18,9.39,40,1.41,6,1.88,8,87.32,372,426,46.27,588.7,16.22,194.51,37.52,498.58,1281.79,100,0.000505645,mi7,FALSE,TRUE,FALSE,FALSE
19,8.45,36,1.88,8,22.07,94,67.61,288,426,31.47,267.51,14.39,137.52,54.14,532.06,937.09,100,0.000366787,mi7,FALSE,FALSE,TRUE,FALSE
20,55.63,237,3.29,14,2.11,9,38.97,166,426,82.55,664.28,9.03,72.36,8.42,67.58,804.22,100,0.000898608,mi7,FALSE,FALSE,FALSE,FALSE
21,21.6,92,7.04,30,9.15,39,62.21,265,426,62.58,479.53,12.38,85.36,25.04,161.63,726.52,100,0.000246005,mi7,FALSE,FALSE,FALSE,FALSE
22,48.36,206,1.64,7,1.88,8,48.12,205,426,81.26,718.39,7.95,60.96,10.8,82.23,861.58,100,0.000572614,mi7,FALSE,FALSE,FALSE,FALSE
23,26.06,111,1.17,5,1.17,5,71.6,305,426,64.63,780.52,14.98,177.29,20.4,245.93,1203.74,100,0.000663615,mi7,FALSE,FALSE,FALSE,FALSE
24,15.02,64,11.03,47,4.46,19,69.48,296,426,43.39,350.65,36.97,290.15,19.64,155.36,796.16,100,0.000406988,mi7,FALSE,FALSE,FALSE,FALSE
25,11.97,51,14.08,60,9.15,39,64.79,276,426,42.45,172.11,27.77,110.41,29.78,113.12,395.64,100,0.000129382,mi7,FALSE,FALSE,FALSE,TRUE
26,27,115,10.09,43,10.09,43,52.82,225,426,42.76,115.59,25.16,68.94,32.08,87.29,271.82,100,0.000155562,mi7,FALSE,FALSE,FALSE,TRUE
27,36.85,157,2.11,9,2.35,10,58.69,250,426,76.17,545.29,12.75,88.79,11.07,73.96,708.04,100,0.000530155,mi7,FALSE,FALSE,FALSE,FALSE
28,27,115,16.9,72,16.43,70,39.67,169,426,39.88,103.09,28.62,73.92,31.5,81.66,258.67,100,0.000108208,mi7,FALSE,FALSE,FALSE,TRUE
29,53.99,230,10.8,46,9.86,42,25.35,108,426,81.36,257.87,6.9,21.1,11.73,37.29,316.26,100,0.000432515,mi7,FALSE,FALSE,FALSE,FALSE
1,83.25,482,0.69,4,0.52,3,15.54,90,579,88.46,6078.65,6.22,421.27,5.32,371.89,6871.81,100,0.00344279,mi8,FALSE,FALSE,FALSE,FALSE
2,27.98,162,1.9,11,0.52,3,69.6,403,579,74.64,2234.04,15.61,445.62,9.74,287.13,2966.79,100,0.00131878,mi8,FALSE,FALSE,FALSE,FALSE
3,12.44,72,4.15,24,9.15,53,74.27,430,579,40.2,477.35,18.83,216.62,40.98,428.52,1122.49,100,0.000463431,mi8,FALSE,FALSE,FALSE,FALSE
